"","time","pedestrians","bicyclists","cars","buses","trucks","location","weekdays","weather","events","rushhour","traffic_ornot"
"1","2019-10-28T00:00:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"2","2019-10-28T00:15:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"3","2019-10-28T00:30:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"4","2019-10-28T00:45:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"5","2019-10-28T01:00:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"6","2019-10-28T01:15:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"7","2019-10-28T01:30:00-04:00",0,0,1,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"8","2019-10-28T01:45:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"9","2019-10-28T02:00:00-04:00",0,0,1,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"10","2019-10-28T02:15:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"11","2019-10-28T02:30:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"12","2019-10-28T02:45:00-04:00",0,0,1,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"13","2019-10-28T03:00:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"14","2019-10-28T03:15:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"15","2019-10-28T03:30:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"16","2019-10-28T03:45:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"17","2019-10-28T04:00:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"18","2019-10-28T04:15:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
"19","2019-10-28T04:30:00-04:00",0,0,0,0,0,"Campus_Dr_&_Presidential_Ave",1,1,0,0,0
